"Class"	"Field"	"Label"	"Tooltip"	"Source"	"SourceDetail"	"Confidence"
"CmPossibility"	"Description"	"Description"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-DescriptionAllA | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-DescriptionAllV | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-DescriptionAllAV | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-DescriptionAllVA"	"ambiguous"
"CmPossibility"	"Description"	"Short Description"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPossibility type=detail name=DialectEdit, ref=DescriptionAllVA resolved via Parts/*.xml"	"ambiguous"
"CmPossibility"	"Discussion"	"Discussion"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-Discussion"	"exact"
"CmPossibility"	"Name"	"Analysis"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-NameRDEA"	"ambiguous"
"CmPossibility"	"Name"	"Full Name"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPossibility type=detail name=DialectEdit, ref=NameAllVA resolved via Parts/*.xml"	"ambiguous"
"CmPossibility"	"Name"	"Name"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-NameAllA | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-NameAllV | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-NameSubcategory | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-NameAllVA | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-NameAllAV"	"ambiguous"
"CmPossibility"	"Name"	"Vernacular"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-NameRDEV"	"ambiguous"
"CmPossibility"	"NamePub"	"Condition"	""	"slice"	"LexEntry.fwlayout, layout class=CmPossibility type=jtview name=publishStemMinorRefMainEntryCondition | LexEntry.fwlayout, layout class=CmPossibility type=jtview name=publishRootMinorRefMainEntryCondition"	"ambiguous"
"CmPossibility"	"NamePub"	"Name"	""	"slice"	"LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishStemSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishCdSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishStemMinorSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishRootSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishRootMinorSenseType | +63 more"	"ambiguous"
"CmPossibility"	"Researchers"	"Researchers"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-Researchers"	"exact"
"CmPossibility"	"Restrictions"	"Restrictions"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-Restrictions"	"exact"
"CmPossibility"	"Status"	"Status"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-Status"	"exact"
"CmPossibility"	"Summary"	"Subitem"	""	"slice"	"CmPossibility.fwlayout, layout class=CmPossibility type=detail name=nested"	"exact"
"CmSemanticDomain"	""	"Semantic Domain"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmSemanticDomain"	"ambiguous"
"CmSemanticDomain"	""	"Semantic Domains"	""	"tool-config"	"toolConfiguration.xml tool=semanticDomainEdit + areaConfiguration.xml ownerClass=LangProject ownerField=SemanticDomainList"	"ambiguous"
"CmSemanticDomain"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishStemSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishCdSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishStemMinorSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishRootSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishRootMinorSemDom | +4 more"	"exact"
"CmSemanticDomain"	"ConfigureAbbrCd"	"Abbreviation"	""	"slice"	"LexEntry.fwlayout, layout class=CmSemanticDomain type=jtview name=domainLabel"	"exact"
"CmSemanticDomain"	"ConfigureNameCd"	"Name"	""	"slice"	"LexEntry.fwlayout, layout class=CmSemanticDomain type=jtview name=domainLabel"	"exact"
"CmSemanticDomain"	"Description"	"Description"	""	"slice"	"CmPossibility.fwlayout, layout class=CmSemanticDomain type=detail name=RDE, ref=DescriptionSummary resolved via Parts/*.xml"	"exact"
"CmSemanticDomain"	"LouwNidaCodes"	"Louw & Nida Codes"	""	"slice"	"CmPossibilityParts.xml, bin class=CmSemanticDomain, part id=CmSemanticDomain-Detail-LouwNidaCodes"	"exact"
"CmSemanticDomain"	"NamePub"	"Name"	""	"slice"	"LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishStemSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishCdSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishStemMinorSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishRootSemDom | LexSense.fwlayout, layout class=CmSemanticDomain type=jtview name=publishRootMinorSemDom | +4 more"	"exact"
"CmSemanticDomain"	"NameRDEA"	"Analysis"	""	"slice"	"CmPossibility.fwlayout, layout class=CmSemanticDomain type=detail name=RDE"	"exact"
"CmSemanticDomain"	"OcmCodes"	"OCM Codes"	""	"slice"	"CmPossibilityParts.xml, bin class=CmSemanticDomain, part id=CmSemanticDomain-Detail-OcmCodes"	"exact"
"CmSemanticDomain"	"OcmRefs"	"Anthropology Categories"	""	"slice"	"CmPossibilityParts.xml, bin class=CmSemanticDomain, part id=CmSemanticDomain-Detail-OcmRefs"	"exact"
"CmSemanticDomain"	"ReferringSenses"	"Referenced Senses"	""	"slice"	"LexEntry.fwlayout, layout class=CmSemanticDomain type=jtview name=classifiedDict"	"exact"
"CmSemanticDomain"	"RelatedDomains"	"Related Domains"	""	"slice"	"CmPossibilityParts.xml, bin class=CmSemanticDomain, part id=CmSemanticDomain-Detail-RelatedDomains"	"exact"
